概要,詳細,優先度,バージョン,ステータス
素材集め,キャラクター,S,プロト,未着手
素材集め,UI素材,S,プロト,未着手
素材集め,BGM,S,プロト,未着手
素材集め,SE,S,プロト,未着手
素材集め,エフェクト,S,プロト,未着手
素材集め,ステージ,S,プロト,未着手
素材集め,アイテム,S,アルファ,未着手
素材集め,アニメーション,S,プロト,未着手
キャラクター,計8種類,S,アルファ,未着手
CPU,自動に動く,S,アルファ,未着手
ステージ,1ステージ,S,プロト,未着手
ステージ,2ステージ,A,ベータ,未着手
ステージ,3ステージ,A,ベータ,未着手
速度,50cc,S,アルファ,未着手
速度,100cc,A,ベータ,未着手
速度,150cc,A,ベータ,未着手
モード,1人プレイ,S,アルファ,未着手
モード,みんなでプレイ,B,ベータ,未着手
オプション,音量調整,S,ベータ,未着手
オプション,スクリーン切り替え,B,ベータ,未着手
シーン,タイトルシーン,S,ベータ,未着手
シーン,モードセレクトシーン,S,ベータ,未着手
シーン,キャラセレクトシーン,S,ベータ,未着手
シーン,ステージセレクトシーン,S,ベータ,未着手
シーン,ゲームシーン,S,アルファ,未着手
